# threads	schedule	chunk_size	time	speedup
60	dynamic	8	5.70087	14.4028
60	dynamic	16	5.58991	14.6887
60	guided	1	5.57137	14.7376
60	guided	4	5.58172	14.7103
60	guided	8	5.60272	14.6552
60	guided	16	5.74901	14.2822
60	auto	1	5.56886	14.7443
60	auto	4	5.43743	15.1007
60	auto	8	5.61375	14.6264
60	auto	16	5.75074	14.278
62	static	1	5.23905	15.6724
62	static	4	5.99232	13.7023
62	static	8	5.93711	13.8298
62	static	16	6.07501	13.5158
62	dynamic	1	6.07203	13.5225
62	dynamic	4	5.56541	14.7534
62	dynamic	8	5.58819	14.6933
62	dynamic	16	5.5902	14.688
62	guided	1	5.58186	14.7099
62	guided	4	5.5959	14.673
62	guided	8	5.62628	14.5938
62	guided	16	5.76925	14.2321
62	auto	1	5.5842	14.7038
62	auto	4	5.61167	14.6318
62	auto	8	5.63676	14.5667
62	auto	16	5.76555	14.2413
64	static	1	5.13137	16.0013
64	static	4	5.99203	13.703
64	static	8	5.92098	13.8674
64	static	16	5.72827	14.334
64	dynamic	1	6.0935	13.4748
64	dynamic	4	5.5331	14.8396
64	dynamic	8	5.57094	14.7388
64	dynamic	16	5.56489	14.7548
64	guided	1	5.60738	14.643
64	guided	4	5.63217	14.5785
64	guided	8	5.6384	14.5624
64	guided	16	5.34026	15.3754
64	auto	1	5.61466	14.624
64	auto	4	5.63577	14.5692
64	auto	8	5.64156	14.5543
64	auto	16	5.77375	14.2211
66	static	1	5.17099	15.8787
66	static	4	5.88168	13.9601
66	static	8	5.82947	14.0851
66	static	16	5.90819	13.8974
66	dynamic	1	6.09919	13.4622
66	dynamic	4	5.81153	14.1286
66	dynamic	8	5.53542	14.8333
66	dynamic	16	5.45085	15.0635
66	guided	1	5.63079	14.5821
66	guided	4	5.67401	14.471
66	guided	8	5.37589	15.2735
66	guided	16	5.44197	15.0881
66	auto	1	5.68276	14.4488
66	auto	4	5.70496	14.3925
66	auto	8	5.72992	14.3298
66	auto	16	5.76267	14.2484
68	static	1	4.99788	16.4287
68	static	4	5.96979	13.754
68	static	8	5.99535	13.6954
68	static	16	5.99209	13.7029
68	dynamic	1	6.16322	13.3224
68	dynamic	4	6.04088	13.5922
68	dynamic	8	5.57548	14.7268
68	dynamic	16	5.48608	14.9667
68	guided	1	5.68284	14.4485
68	guided	4	5.8303	14.0831
68	guided	8	5.82392	14.0985
68	guided	16	5.8664	13.9965
68	auto	1	5.7707	14.2286
68	auto	4	5.80035	14.1558
68	auto	8	5.81269	14.1258
68	auto	16	5.84683	14.0433
70	static	1	6.30278	13.0274
70	static	4	6.10142	13.4573
70	static	8	6.02642	13.6248
70	static	16	6.0145	13.6518
70	dynamic	1	6.05379	13.5632
70	dynamic	4	6.07318	13.5199
70	dynamic	8	5.70993	14.38
70	dynamic	16	5.41873	15.1528
70	guided	1	5.75459	14.2684
70	guided	4	5.52683	14.8564
70	guided	8	5.76684	14.2381
70	guided	16	5.01295	16.3793
70	auto	1	5.65262	14.5258
70	auto	4	5.71317	14.3718
70	auto	8	5.22898	15.7026
70	auto	16	5.85847	14.0154
72	static	1	6.23962	13.1593
72	static	4	6.0673	13.533
72	static	8	3.68657	22.2724
72	static	16	5.89937	13.9182
72	dynamic	1	6.1902	13.2643
72	dynamic	4	5.99452	13.6973
72	dynamic	8	5.58708	14.6962
72	dynamic	16	5.32732	15.4128
72	guided	1	5.73168	14.3254
72	guided	4	5.75481	14.2678
72	guided	8	5.38255	15.2546
72	guided	16	5.85809	14.0163
72	auto	1	5.67834	14.46
72	auto	4	5.75259	14.2734
72	auto	8	5.73714	14.3118
72	auto	16	5.87565	13.9744
74	static	1	6.19309	13.2581
74	static	4	6.05516	13.5601
74	static	8	6.04667	13.5792
74	static	16	6.10875	13.4412
74	dynamic	1	6.25048	13.1364
74	dynamic	4	5.94532	13.8107
74	dynamic	8	5.60462	14.6502
74	dynamic	16	5.34005	15.376
74	guided	1	5.70407	14.3948
74	guided	4	5.76638	14.2392
74	guided	8	5.77935	14.2073
74	guided	16	5.94232	13.8176
74	auto	1	5.74089	14.3025
74	auto	4	5.79219	14.1758
74	auto	8	5.78006	14.2055
74	auto	16	6.00173	13.6808
76	static	1	6.48761	12.6563
76	static	4	6.23875	13.1611
76	static	8	6.18876	13.2674
76	static	16	6.17603	13.2947
76	dynamic	1	6.1487	13.3538
76	dynamic	4	6.16174	13.3256
76	dynamic	8	5.5992	14.6644
76	dynamic	16	5.21272	15.7516
76	guided	1	5.77959	14.2067
76	guided	4	5.60408	14.6516
76	guided	8	5.79386	14.1717
